Entity,Code,Year,Global average temperature anomaly relative to 1861-1890,Lower bound of the annual temperature anomaly (95% confidence interval),Upper bound of the annual temperature anomaly (95% confidence interval)
World,OWID_WRL,1923,0.04461587,-0.06376635,0.1529981
World,OWID_WRL,1924,0.050496046,-0.05811354,0.15910564
World,OWID_WRL,1925,0.08015577,-0.032653686,0.19296521
World,OWID_WRL,1926,0.23974274,0.13145065,0.34803483
World,OWID_WRL,1927,0.13318415,0.030099992,0.23626828
World,OWID_WRL,1928,0.15583193,0.044860873,0.266803
World,OWID_WRL,1929,-0.030145284,-0.14056227,0.08027173
World,OWID_WRL,1930,0.18549232,0.07188631,0.29909837
World,OWID_WRL,1931,0.25890008,0.14960614,0.368194
World,OWID_WRL,1932,0.21683604,0.11034257,0.3233295
World,OWID_WRL,1933,0.039953325,-0.06480264,0.14470932
World,OWID_WRL,1934,0.1879609,0.0882938,0.287628
World,OWID_WRL,1935,0.15623851,0.058800403,0.25367662
World,OWID_WRL,1936,0.1927768,0.09877849,0.2867751
World,OWID_WRL,1937,0.3430988,0.24253897,0.44365862
World,OWID_WRL,1938,0.350097,0.251994,0.44820002
World,OWID_WRL,1939,0.32150054,0.21559305,0.42740804
World,OWID_WRL,1940,0.43823355,0.32034805,0.5561191
World,OWID_WRL,1941,0.40042704,0.20004383,0.6008103
World,OWID_WRL,1942,0.36370382,0.16708532,0.5603223
World,OWID_WRL,1943,0.36871934,0.16271463,0.574724
World,OWID_WRL,1944,0.5064029,0.30780292,0.70500284
World,OWID_WRL,1945,0.4053861,0.20501484,0.60575736
World,OWID_WRL,1946,0.24348314,0.09634671,0.39061958
World,OWID_WRL,1947,0.27109215,0.13050728,0.411677
World,OWID_WRL,1948,0.23763648,0.10316438,0.3721086
World,OWID_WRL,1949,0.21849552,0.10822029,0.3287708
World,OWID_WRL,1950,0.13567594,0.029640768,0.24171112
World,OWID_WRL,1951,0.3011438,0.21194752,0.39034006
World,OWID_WRL,1952,0.3776523,0.27936175,0.47594282
World,OWID_WRL,1953,0.4399285,0.34176815,0.53808886
World,OWID_WRL,1954,0.24554752,0.15379502,0.33730003
World,OWID_WRL,1955,0.1649878,0.07786778,0.25210783
World,OWID_WRL,1956,0.09913213,0.023172084,0.17509216
World,OWID_WRL,1957,0.32696283,0.26172915,0.39219654
World,OWID_WRL,1958,0.3446652,0.27922317,0.4101072
World,OWID_WRL,1959,0.31429294,0.25193402,0.37665185
World,OWID_WRL,1960,0.24683817,0.18816018,0.30551615
World,OWID_WRL,1961,0.34229797,0.2915179,0.39307806
World,OWID_WRL,1962,0.29825503,0.24498852,0.35152155
World,OWID_WRL,1963,0.32548714,0.27171797,0.3792563
World,OWID_WRL,1964,0.056436215,0.01280323,0.10006917
World,OWID_WRL,1965,0.15787727,0.10868705,0.20706749
World,OWID_WRL,1966,0.21340014,0.16388856,0.2629117
World,OWID_WRL,1967,0.24475846,0.20164095,0.28787595
World,OWID_WRL,1968,0.19365019,0.14902225,0.23827812
World,OWID_WRL,1969,0.33091152,0.29040638,0.37141663
World,OWID_WRL,1970,0.27723366,0.2362451,0.31822222
World,OWID_WRL,1971,0.1564087,0.117825516,0.19499189
World,OWID_WRL,1972,0.26850644,0.23061424,0.3063986
World,OWID_WRL,1973,0.4122479,0.37577677,0.44871905
World,OWID_WRL,1974,0.18977118,0.1520721,0.22747026
World,OWID_WRL,1975,0.25154352,0.21099263,0.2920944
World,OWID_WRL,1976,0.14646085,0.106437124,0.18648459
World,OWID_WRL,1977,0.46538624,0.42235443,0.5084181
World,OWID_WRL,1978,0.3675537,0.32770112,0.4074063
World,OWID_WRL,1979,0.45315588,0.42465636,0.4816554
World,OWID_WRL,1980,0.5583698,0.5251017,0.59163785
World,OWID_WRL,1981,0.6123098,0.581689,0.64293057
World,OWID_WRL,1982,0.39656603,0.35718912,0.43594295
World,OWID_WRL,1983,0.5861076,0.5503421,0.62187314
World,OWID_WRL,1984,0.41029125,0.37383792,0.44674462
World,OWID_WRL,1985,0.41202748,0.3779612,0.4460938
World,OWID_WRL,1986,0.45798472,0.42670575,0.4892637
World,OWID_WRL,1987,0.60532415,0.5744833,0.636165
World,OWID_WRL,1988,0.6444495,0.60933304,0.6795659
World,OWID_WRL,1989,0.5415481,0.5067962,0.5762999
World,OWID_WRL,1990,0.7228801,0.68686646,0.7588938
World,OWID_WRL,1991,0.7011943,0.6663339,0.73605466
World,OWID_WRL,1992,0.48719457,0.45317987,0.5212093
World,OWID_WRL,1993,0.52800494,0.4905145,0.5654954
World,OWID_WRL,1994,0.59584755,0.5607107,0.63098437
World,OWID_WRL,1995,0.7391639,0.70595354,0.7723743
World,OWID_WRL,1996,0.6389871,0.60547775,0.6724965
World,OWID_WRL,1997,0.7846063,0.7523886,0.81682396
World,OWID_WRL,1998,0.93963945,0.90536654,0.9739124
World,OWID_WRL,1999,0.6867827,0.65513253,0.71843296
World,OWID_WRL,2000,0.6933825,0.6605256,0.72623944
World,OWID_WRL,2001,0.8515781,0.8203661,0.88279015
World,OWID_WRL,2002,0.9057643,0.87507963,0.93644893
World,OWID_WRL,2003,0.9064679,0.8735404,0.9393955
World,OWID_WRL,2004,0.82966846,0.7966361,0.8627009
World,OWID_WRL,2005,0.96916026,0.93800306,1.0003175
World,OWID_WRL,2006,0.93485045,0.90427077,0.96543014
World,OWID_WRL,2007,0.9539991,0.9236509,0.9843472
World,OWID_WRL,2008,0.8279476,0.7949551,0.8609401
World,OWID_WRL,2009,0.9590794,0.92755336,0.9906054
World,OWID_WRL,2010,1.0426692,1.0113736,1.0739646
World,OWID_WRL,2011,0.8999955,0.86829895,0.93169206
World,OWID_WRL,2012,0.9399048,0.907153,0.9726566
World,OWID_WRL,2013,0.9858731,0.9507816,1.0209646
World,OWID_WRL,2014,1.0351694,1.0012026,1.0691361
World,OWID_WRL,2015,1.1874121,1.1535848,1.2212394
World,OWID_WRL,2016,1.2952248,1.2640612,1.3263884
World,OWID_WRL,2017,1.207472,1.1770725,1.2378715
World,OWID_WRL,2018,1.1249518,1.0933498,1.1565537
World,OWID_WRL,2019,1.2533703,1.219085,1.2876556
World,OWID_WRL,2020,1.2852182,1.2505958,1.3198407
World,OWID_WRL,2021,1.1242033,1.0877554,1.1606511
World,OWID_WRL,2022,1.1636031,1.1275554,1.1996508
World,OWID_WRL,2023,1.4626105,1.4239484,1.5012726
World,OWID_WRL,2024,1.5430979,1.5038866,1.5823091
World,OWID_WRL,2025,1.5525805,1.4104723,1.6946888
